state,company,model,year,original_price,accident_score,repair_cost,km_driven,fuel_type,resale_price
Karnataka,Volkswagen,Virtus,2015,1193000,9,191800,14208,Diesel,169000
Karnataka,Mahindra,Thar,2011,1434000,4,15900,118932,Diesel,414000
Puducherry,Skoda,Octavia,2019,3359000,8,91300,91520,Petrol,1433000
West Bengal,Tata,Safari,2014,2054000,4,6300,163933,Petrol,634000
Tripura,Skoda,Slavia,2023,1579000,2,1000,157411,Petrol,1035000
Lakshadweep,Hyundai,Verna,2020,1259000,3,8500,157217,Petrol,697000
Manipur,Tata,Tiago,2018,730000,10,364800,229999,Petrol,71000
Puducherry,Hyundai,Venue,2011,1108000,5,26800,73067,Petrol,384000
Assam,Kia,Sonet,2013,1326000,4,46700,41624,Petrol,550000
Andaman and Nicobar Islands,Hyundai,Verna,2018,1386000,6,170800,26012,Petrol,710000
Sikkim,Maruti Suzuki,Swift,2022,756000,1,200,12162,Petrol,670000
Goa,Hyundai,Creta,2022,1491000,8,191300,30758,Diesel,869000
Arunachal Pradesh,Tata,Harrier,2020,1888000,9,438500,35187,Diesel,775000
Mizoram,Tata,Nexon,2012,1216000,10,383100,162377,Diesel,119000
Ladakh,Hyundai,Creta,2022,1354000,9,425900,80753,Petrol,578000
Dadra and Nagar Haveli and Daman and Diu,Maruti Suzuki,Ertiga,2010,1089000,1,0,162079,Diesel,438000
Tripura,Toyota,Urban Cruiser Hyryder,2015,1524000,9,244200,194765,Petrol,385000
Haryana,Mahindra,Bolero,2014,895000,4,26100,139134,Diesel,282000
Telangana,Honda,City,2016,1520000,1,4500,196260,Petrol,708000
Bihar,Kia,Seltos,2019,1475000,10,392700,229401,Diesel,149000
Arunachal Pradesh,MG,Hector,2010,1687000,1,1000,75204,Diesel,376000
Ladakh,Hyundai,i20,2021,836000,3,40900,72806,Diesel,556000
Meghalaya,Skoda,Kushaq,2022,1445000,9,439600,54200,Petrol,634000
Meghalaya,Tata,Nexon,2016,1071000,5,16200,167286,Diesel,291000
Karnataka,Maruti Suzuki,Baleno,2022,947000,3,29100,192954,Petrol,531000
Punjab,Honda,City,2010,1384000,7,126400,220492,Diesel,134000
Telangana,Honda,City,2022,1268000,6,139100,65051,Petrol,802000
Arunachal Pradesh,Hyundai,Verna,2016,1252000,5,24000,212642,Petrol,387000
Gujarat,Toyota,Fortuner,2018,4067000,3,23000,140986,Diesel,2332000
Himachal Pradesh,Volkswagen,Polo,2010,990000,6,59800,181600,Petrol,101000
Bihar,Honda,City,2013,1276000,6,100900,59771,Diesel,403000
Haryana,Kia,Carens,2012,1283000,2,700,216274,Petrol,401000
Chandigarh,Skoda,Slavia,2022,1493000,9,125300,37447,Petrol,841000
Goa,Mahindra,Bolero,2016,915000,6,109200,173828,Petrol,246000
Assam,Hyundai,i20,2019,1013000,9,360400,204584,Diesel,106000
Gujarat,Volkswagen,Polo,2022,997000,9,104400,149847,Petrol,414000
Maharashtra,Maruti Suzuki,Swift,2015,718000,7,79400,209113,Petrol,183000
Ladakh,Maruti Suzuki,Baleno,2015,898000,8,119200,128803,Petrol,307000
Haryana,Kia,Seltos,2020,1783000,7,146400,61020,Diesel,903000
Bihar,Hyundai,Venue,2022,1134000,9,435200,37289,Diesel,487000
Odisha,Mahindra,XUV700,2017,2035000,1,4800,94902,Petrol,1224000
Uttarakhand,Mahindra,XUV700,2012,2298000,10,415600,61514,Petrol,288000
Andaman and Nicobar Islands,Honda,Amaze,2011,856000,5,7400,29176,Petrol,309000
Lakshadweep,Kia,Carens,2015,1208000,1,2800,170276,Petrol,545000
Uttar Pradesh,Kia,Sonet,2021,1368000,9,463700,17152,Petrol,607000
Himachal Pradesh,Kia,Seltos,2013,1811000,1,4300,234331,Petrol,569000
Uttar Pradesh,MG,Hector,2022,2081000,7,90400,12148,Diesel,1272000
Maharashtra,Hyundai,Creta,2014,1620000,6,143300,240272,Petrol,266000
Jammu and Kashmir,Skoda,Kushaq,2011,1471000,8,161300,132241,Petrol,156000
Ladakh,Honda,Amaze,2010,967000,4,24900,35363,Petrol,364000
Andaman and Nicobar Islands,Mahindra,Scorpio-N,2017,1785000,9,486200,231186,Petrol,177000
Maharashtra,Mahindra,Scorpio-N,2011,1965000,2,3000,18998,Diesel,675000
Arunachal Pradesh,MG,Hector,2019,1904000,2,2400,157264,Diesel,775000
Arunachal Pradesh,Volkswagen,Virtus,2012,1435000,10,470200,110606,Diesel,147000
Tripura,Honda,Elevate,2022,1564000,8,73500,162367,Diesel,697000
Telangana,MG,Astor,2019,1457000,3,26600,70064,Petrol,763000
Jammu and Kashmir,Honda,Elevate,2023,1553000,3,17500,55974,Petrol,1234000
Manipur,Honda,City,2016,1516000,10,393500,110961,Petrol,353000
Arunachal Pradesh,Skoda,Slavia,2020,1255000,8,159500,35858,Petrol,608000
Kerala,Mahindra,Scorpio-N,2021,1935000,9,418100,64797,Petrol,869000
Telangana,Mahindra,XUV700,2018,2199000,1,2300,203446,Petrol,1034000
Uttarakhand,Hyundai,Creta,2019,1681000,7,139500,164909,Petrol,625000
Jharkhand,Kia,Carens,2018,1511000,3,33500,182354,Diesel,583000
Puducherry,Kia,Carens,2016,1349000,2,1800,170243,Petrol,609000
West Bengal,Hyundai,Creta,2022,1620000,6,199800,143544,Diesel,837000
Haryana,Honda,City,2016,1516000,3,20800,146942,Diesel,670000
Nagaland,Maruti Suzuki,Swift,2012,770000,4,5100,130414,Petrol,349000
Jammu and Kashmir,Kia,Carens,2016,1354000,1,1000,21411,Diesel,758000
Chhattisgarh,Hyundai,Creta,2015,1641000,1,400,220891,Petrol,610000
Bihar,MG,Astor,2020,1224000,2,2600,163999,Petrol,577000
Kerala,Skoda,Kushaq,2017,1667000,7,87700,173315,Petrol,386000
Manipur,Honda,Amaze,2017,770000,8,123800,120513,Petrol,254000
Andaman and Nicobar Islands,Tata,Safari,2016,2374000,3,44100,181001,Petrol,815000
Puducherry,Hyundai,Verna,2023,1388000,7,62500,129292,Petrol,822000
Chhattisgarh,Honda,City,2018,1357000,9,237800,181850,Petrol,343000
Madhya Pradesh,Mahindra,Bolero,2012,920000,6,143800,249157,Petrol,89000
Uttar Pradesh,Hyundai,Verna,2011,1317000,1,1700,126701,Petrol,599000
Goa,MG,Hector,2011,1615000,7,112400,62375,Diesel,156000
Delhi,Skoda,Octavia,2016,3429000,4,19300,36788,Diesel,1288000
Lakshadweep,Honda,Amaze,2010,836000,3,42900,195313,Petrol,235000
Uttar Pradesh,Honda,Elevate,2023,1294000,7,122200,29776,Diesel,962000
Meghalaya,Volkswagen,Taigun,2023,1582000,7,173300,31637,Petrol,1126000
Chandigarh,Volkswagen,Polo,2012,904000,1,1300,24707,Petrol,344000
Lakshadweep,Tata,Nexon,2014,1246000,7,95000,141164,Diesel,235000
Delhi,MG,Astor,2016,1288000,4,40300,232169,Petrol,202000
Jammu and Kashmir,Tata,Harrier,2015,1945000,10,493400,65006,Diesel,245000
Arunachal Pradesh,Volkswagen,Polo,2021,924000,7,155600,171894,Petrol,305000
Bihar,Kia,Sonet,2016,1105000,3,6000,140863,Diesel,471000
Tripura,Skoda,Kushaq,2023,1313000,3,19700,49810,Diesel,1023000
Karnataka,Hyundai,Verna,2020,1370000,1,2700,100955,Diesel,937000
Mizoram,Kia,Carens,2011,1253000,3,9800,142058,Petrol,462000
Uttar Pradesh,Volkswagen,Polo,2018,1023000,9,457500,159830,Petrol,100000
Lakshadweep,Honda,Elevate,2012,1666000,1,2700,38259,Petrol,882000
Manipur,Skoda,Slavia,2019,1600000,5,38200,192891,Diesel,483000
Punjab,MG,Astor,2019,1545000,9,430000,139271,Petrol,237000
Odisha,Toyota,Innova Crysta,2018,2595000,1,3600,125031,Petrol,1751000
Kerala,Mahindra,Bolero,2017,984000,9,444300,56377,Petrol,187000
Andaman and Nicobar Islands,Honda,Amaze,2019,976000,8,179700,21641,Petrol,469000
Jharkhand,MG,Astor,2021,1402000,3,13500,226645,Diesel,533000
Madhya Pradesh,Volkswagen,Polo,2020,775000,6,187500,144497,Petrol,241000
Kerala,Mahindra,Scorpio-N,2014,1645000,1,3000,236478,Diesel,411000
Sikkim,Volkswagen,Polo,2020,775000,3,23300,37722,Petrol,519000
Sikkim,Toyota,Innova Crysta,2018,2313000,8,153300,108068,Petrol,1121000
Odisha,Tata,Tiago,2012,676000,9,338100,184182,Petrol,70000
Manipur,Mahindra,Thar,2012,1523000,2,2700,73348,Petrol,643000
Sikkim,Volkswagen,Taigun,2015,1686000,3,42700,106994,Petrol,641000
Manipur,Mahindra,Scorpio-N,2022,1917000,6,76800,184945,Petrol,957000
Jammu and Kashmir,Hyundai,Verna,2010,1249000,8,186000,174298,Diesel,131000
Puducherry,Toyota,Fortuner,2022,4132000,5,22200,132865,Petrol,2552000
Punjab,MG,Hector,2018,2115000,10,139100,221092,Petrol,220000
Dadra and Nagar Haveli and Daman and Diu,Tata,Nexon,2023,1092000,6,111900,189729,Diesel,533000
Goa,Toyota,Fortuner,2011,3873000,5,34700,90261,Petrol,1841000
Rajasthan,Mahindra,Thar,2012,1464000,10,212400,100973,Diesel,146000
Ladakh,Hyundai,Creta,2017,1634000,6,62000,228231,Petrol,457000
Nagaland,Tata,Nexon,2022,1122000,2,300,212737,Diesel,578000
Tripura,MG,Hector,2018,2012000,9,131500,128964,Petrol,478000
Andhra Pradesh,Honda,Amaze,2023,800000,9,392400,139809,Petrol,242000
Himachal Pradesh,Toyota,Urban Cruiser Hyryder,2022,1748000,7,159100,208386,Petrol,811000
Jammu and Kashmir,Kia,Sonet,2014,1214000,3,14100,83289,Diesel,531000
Jammu and Kashmir,Toyota,Urban Cruiser Hyryder,2014,1789000,6,160600,146911,Diesel,660000
Rajasthan,MG,Astor,2012,1265000,10,162200,84833,Petrol,130000
West Bengal,Toyota,Fortuner,2023,3563000,1,400,6640,Petrol,3524000
Telangana,Mahindra,XUV700,2013,1831000,2,2700,39374,Diesel,698000
Andhra Pradesh,Toyota,Innova Crysta,2018,2485000,7,195600,58501,Petrol,1502000
Odisha,Honda,Amaze,2018,995000,7,151100,166718,Petrol,313000
Manipur,Kia,Sonet,2022,1344000,5,47100,120622,Diesel,773000
Andhra Pradesh,Tata,Harrier,2021,2208000,3,29200,189466,Diesel,1035000
Chhattisgarh,Skoda,Kushaq,2012,1637000,9,155500,190484,Petrol,159000
Chhattisgarh,Tata,Tiago,2023,671000,1,2500,174121,Petrol,437000
Andhra Pradesh,Hyundai,Creta,2017,1462000,4,41200,46982,Diesel,738000
Lakshadweep,Tata,Safari,2021,2137000,8,96400,27830,Petrol,1348000
Dadra and Nagar Haveli and Daman and Diu,Volkswagen,Virtus,2015,1299000,5,36700,152335,Petrol,340000
Assam,Toyota,Fortuner,2018,4142000,8,150200,219084,Petrol,1487000
Uttar Pradesh,Maruti Suzuki,Baleno,2011,906000,8,96000,174193,Petrol,198000
Maharashtra,Mahindra,Bolero,2021,1086000,10,443600,61956,Petrol,386000
Arunachal Pradesh,Toyota,Fortuner,2019,3607000,10,212200,153602,Diesel,1363000
Gujarat,Kia,Sonet,2019,1257000,5,20500,24755,Petrol,766000
Karnataka,Toyota,Urban Cruiser Hyryder,2013,1535000,10,383200,211923,Petrol,204000
Punjab,Honda,Amaze,2021,798000,8,179300,173979,Petrol,263000
Uttar Pradesh,Honda,City,2019,1586000,5,21600,92195,Diesel,873000
Haryana,Tata,Safari,2023,2268000,10,330100,230604,Petrol,662000
Kerala,Volkswagen,Taigun,2015,1348000,10,345600,69615,Diesel,138000
Maharashtra,Volkswagen,Polo,2015,1007000,10,392700,41248,Petrol,97000
Arunachal Pradesh,Hyundai,Creta,2016,1632000,1,4500,196156,Petrol,685000
Assam,Honda,Elevate,2022,1495000,8,186000,184834,Diesel,574000
Maharashtra,Toyota,Urban Cruiser Hyryder,2012,1607000,9,306800,67074,Petrol,525000
Assam,Mahindra,Thar,2014,1494000,7,71500,66941,Diesel,409000
Chhattisgarh,Toyota,Fortuner,2023,4545000,10,149100,195829,Petrol,2055000
Karnataka,MG,Astor,2011,1469000,4,36300,84374,Diesel,249000
Jammu and Kashmir,Mahindra,Thar,2013,1654000,1,4700,243984,Diesel,385000
Goa,Mahindra,Bolero,2011,878000,7,62700,43059,Petrol,208000
Haryana,Mahindra,XUV700,2020,1859000,8,157500,247217,Diesel,389000
Himachal Pradesh,Maruti Suzuki,Swift,2021,722000,2,900,181537,Petrol,431000
Gujarat,Tata,Tiago,2019,561000,1,3700,194181,Petrol,273000
Ladakh,Volkswagen,Taigun,2019,1364000,4,7400,200762,Diesel,440000
West Bengal,Kia,Sonet,2010,1095000,3,34800,178103,Diesel,269000
Gujarat,Tata,Harrier,2011,1806000,1,4600,79566,Diesel,616000
Himachal Pradesh,Toyota,Fortuner,2015,4092000,3,44100,40293,Diesel,2323000
Arunachal Pradesh,MG,Hector,2015,2014000,7,67300,96743,Petrol,521000
Maharashtra,MG,Astor,2021,1244000,8,54500,157950,Petrol,441000
Chandigarh,Hyundai,Creta,2016,1399000,9,271300,99113,Diesel,324000
Himachal Pradesh,Mahindra,Thar,2011,1484000,3,6700,237810,Petrol,317000
Bihar,Kia,Seltos,2012,1534000,4,41500,130648,Diesel,471000
Karnataka,MG,Hector,2021,1868000,7,161700,27380,Petrol,1037000
Himachal Pradesh,Tata,Harrier,2011,2019000,6,118400,94755,Petrol,490000
Andhra Pradesh,Mahindra,Scorpio-N,2010,1633000,1,3000,37687,Diesel,572000
Andaman and Nicobar Islands,Toyota,Innova Crysta,2014,2795000,2,3000,168291,Diesel,1328000
Tamil Nadu,Toyota,Innova Crysta,2012,2444000,5,36400,69512,Petrol,1190000
Mizoram,Volkswagen,Virtus,2010,1191000,1,1000,150474,Petrol,335000
Arunachal Pradesh,Kia,Carens,2017,1287000,5,10900,109500,Diesel,545000
Ladakh,Maruti Suzuki,Swift,2022,704000,6,167400,195516,Petrol,268000
Arunachal Pradesh,Hyundai,Venue,2017,1167000,4,38300,27134,Petrol,644000
Gujarat,Mahindra,Thar,2013,1582000,2,400,92068,Diesel,622000
Ladakh,Honda,Amaze,2022,846000,3,12500,110019,Petrol,565000
West Bengal,Tata,Harrier,2018,2019000,6,167100,182305,Diesel,528000
Mizoram,Volkswagen,Taigun,2018,1367000,6,102200,6433,Petrol,613000
Karnataka,Volkswagen,Virtus,2016,1542000,3,10200,119506,Diesel,556000
Ladakh,Mahindra,XUV700,2017,2226000,1,500,9975,Diesel,1277000
West Bengal,Hyundai,Venue,2020,1253000,1,600,159485,Petrol,720000
Delhi,Volkswagen,Taigun,2010,1686000,5,43400,10150,Petrol,336000
Puducherry,Hyundai,Venue,2015,1124000,2,2600,70350,Petrol,587000
Jammu and Kashmir,Maruti Suzuki,Dzire,2019,835000,8,153500,220406,Diesel,179000
Chhattisgarh,Mahindra,Bolero,2020,1027000,7,150200,36530,Diesel,502000
Tripura,Hyundai,Creta,2014,1372000,8,175800,17872,Diesel,328000
Kerala,Toyota,Innova Crysta,2021,2262000,9,451100,185586,Diesel,740000
Haryana,MG,Astor,2011,1529000,5,15800,191512,Diesel,158000
Himachal Pradesh,Maruti Suzuki,Baleno,2018,842000,9,189900,125780,Petrol,261000
Bihar,Tata,Nexon,2020,1247000,5,11200,169566,Petrol,545000
Jammu and Kashmir,MG,Astor,2011,1568000,8,55900,26889,Diesel,164000
Jammu and Kashmir,Maruti Suzuki,Swift,2016,799000,5,24900,239399,Petrol,238000
Haryana,Volkswagen,Virtus,2021,1409000,4,42400,248034,Diesel,497000
Telangana,Volkswagen,Taigun,2010,1518000,1,2100,217826,Petrol,292000
Rajasthan,Volkswagen,Polo,2023,790000,4,29900,52141,Petrol,591000
Uttar Pradesh,Hyundai,i20,2018,1017000,8,120900,238567,Petrol,193000
West Bengal,Skoda,Octavia,2021,2685000,7,175100,202173,Petrol,886000
Tamil Nadu,Mahindra,Thar,2022,1484000,10,322000,28183,Petrol,773000
Assam,Volkswagen,Polo,2012,938000,5,49200,132796,Petrol,205000
Tripura,Toyota,Fortuner,2017,4335000,7,97600,157314,Diesel,1785000
Uttarakhand,Honda,Elevate,2018,1444000,5,45100,70183,Diesel,739000
Andaman and Nicobar Islands,Skoda,Slavia,2017,1254000,3,41800,8044,Diesel,542000
Jharkhand,Tata,Harrier,2013,2048000,7,122100,221405,Petrol,201000
Manipur,Honda,Elevate,2021,1455000,4,45200,136546,Petrol,896000
Himachal Pradesh,Honda,Amaze,2022,894000,8,67900,143204,Petrol,422000
Chhattisgarh,Hyundai,Venue,2023,959000,10,479700,34608,Petrol,405000
Karnataka,Mahindra,Bolero,2013,882000,7,50100,129547,Diesel,185000
Meghalaya,Maruti Suzuki,Dzire,2018,757000,7,137100,29745,Petrol,390000
Telangana,Honda,Amaze,2014,899000,10,151000,37655,Petrol,228000
Assam,Mahindra,Scorpio-N,2022,1771000,7,155400,153693,Petrol,847000
Dadra and Nagar Haveli and Daman and Diu,Hyundai,Creta,2019,1590000,10,494800,146096,Petrol,334000
Andhra Pradesh,Kia,Sonet,2012,1320000,5,10200,30401,Diesel,406000
Ladakh,Hyundai,Creta,2019,1653000,7,148700,53420,Diesel,823000
Lakshadweep,MG,Hector,2019,2013000,10,388100,108763,Diesel,357000
Jammu and Kashmir,Kia,Carens,2023,1321000,6,139200,28670,Diesel,1003000
Bihar,Hyundai,i20,2021,931000,3,8800,162052,Diesel,539000
Meghalaya,Kia,Carens,2011,1209000,8,70600,23450,Diesel,228000
Bihar,Mahindra,Bolero,2015,912000,7,83000,70156,Petrol,320000
Mizoram,Toyota,Innova Crysta,2016,2575000,1,400,132273,Petrol,1671000
Punjab,Tata,Harrier,2019,2018000,3,8100,70593,Diesel,1212000
Tripura,Honda,Elevate,2019,1663000,7,180400,119008,Diesel,646000
West Bengal,Honda,City,2022,1196000,5,25600,249159,Diesel,520000
Delhi,Volkswagen,Virtus,2010,1416000,8,130900,154739,Diesel,148000
Madhya Pradesh,Skoda,Octavia,2012,2576000,6,117700,68574,Diesel,467000
Himachal Pradesh,Tata,Safari,2014,2092000,2,3200,19206,Diesel,864000
Tamil Nadu,Mahindra,Thar,2020,1364000,3,17200,116541,Petrol,783000
Odisha,Tata,Safari,2017,2153000,8,131400,186914,Diesel,367000
Rajasthan,MG,Hector,2011,1837000,3,23400,25726,Petrol,418000
Jammu and Kashmir,Honda,Elevate,2020,1634000,1,0,106776,Petrol,1095000
Ladakh,Kia,Sonet,2018,1276000,4,10200,38515,Petrol,786000
Tamil Nadu,Volkswagen,Taigun,2014,1694000,3,31800,121946,Diesel,521000
West Bengal,Hyundai,Creta,2012,1604000,4,39700,19017,Diesel,517000
Dadra and Nagar Haveli and Daman and Diu,Toyota,Fortuner,2021,3916000,7,189500,159335,Petrol,2015000
Tamil Nadu,Tata,Harrier,2018,2290000,5,13400,50830,Petrol,1267000
Manipur,Skoda,Slavia,2015,1559000,5,8100,213906,Petrol,291000
West Bengal,Honda,Amaze,2014,941000,8,138700,175972,Petrol,200000
Chhattisgarh,Hyundai,Creta,2012,1700000,8,124800,191889,Diesel,173000
Goa,Volkswagen,Virtus,2016,1568000,4,20900,205319,Diesel,319000
Karnataka,Volkswagen,Taigun,2023,1289000,9,382500,223262,Diesel,317000
Chhattisgarh,Volkswagen,Virtus,2020,1490000,1,600,147318,Diesel,818000
Assam,Honda,Amaze,2013,958000,7,110200,13703,Petrol,322000
Jammu and Kashmir,Tata,Harrier,2013,2074000,4,25000,91775,Petrol,730000
Gujarat,Skoda,Kushaq,2016,1597000,8,182400,120485,Diesel,284000
Chhattisgarh,Kia,Sonet,2014,1376000,5,48900,71611,Diesel,492000
West Bengal,Maruti Suzuki,Baleno,2015,931000,2,3900,185468,Petrol,426000
Puducherry,Hyundai,i20,2020,938000,6,113200,203089,Petrol,318000
Chandigarh,Skoda,Octavia,2023,3145000,7,198900,146260,Diesel,1728000
Ladakh,Skoda,Kushaq,2022,1673000,10,131900,186036,Diesel,552000
Rajasthan,Volkswagen,Polo,2023,955000,2,2200,130656,Petrol,693000
Mizoram,Kia,Seltos,2011,1377000,10,383300,230928,Diesel,141000
Kerala,Honda,City,2023,1570000,4,43800,150947,Diesel,963000
Meghalaya,Mahindra,Thar,2011,1432000,9,362100,174363,Petrol,142000
Karnataka,MG,Hector,2018,2176000,9,125900,232261,Petrol,210000
Haryana,Maruti Suzuki,Swift,2013,598000,1,100,51066,Petrol,347000
Tripura,Volkswagen,Virtus,2010,1349000,1,4200,243561,Diesel,152000
Haryana,Maruti Suzuki,Swift,2013,767000,7,74400,102693,Petrol,271000
Meghalaya,Skoda,Slavia,2020,1580000,2,4800,68954,Petrol,1051000
Nagaland,Kia,Carens,2013,1459000,5,31800,87539,Diesel,512000
Gujarat,Maruti Suzuki,Swift,2022,637000,8,156000,9430,Petrol,366000
Nagaland,Toyota,Urban Cruiser Hyryder,2017,1642000,2,2700,223651,Petrol,846000
Assam,Kia,Sonet,2020,1370000,7,120400,107218,Petrol,637000
Uttar Pradesh,Toyota,Innova Crysta,2021,2776000,4,23500,28670,Petrol,2305000
Lakshadweep,Toyota,Fortuner,2023,3879000,10,241000,246800,Diesel,1254000
Andhra Pradesh,Toyota,Urban Cruiser Hyryder,2016,1725000,9,206100,115019,Diesel,609000
Tripura,Skoda,Octavia,2019,3061000,3,30500,111235,Diesel,1502000
Ladakh,Mahindra,Bolero,2018,1017000,10,162000,240328,Diesel,102000
Delhi,MG,Hector,2015,1823000,10,324800,215462,Petrol,180000
Chhattisgarh,MG,Astor,2010,1567000,10,224100,186721,Petrol,149000
Goa,Tata,Safari,2022,2452000,8,186800,98980,Petrol,1292000
Punjab,Hyundai,i20,2019,970000,3,9800,101611,Diesel,539000
Jammu and Kashmir,Toyota,Fortuner,2017,3953000,2,1100,81228,Diesel,2542000
Kerala,Hyundai,i20,2022,911000,9,175800,223834,Diesel,230000
Uttar Pradesh,Tata,Safari,2012,2046000,10,350400,41939,Diesel,205000
Chhattisgarh,Volkswagen,Taigun,2014,1640000,6,119800,194007,Petrol,208000
Puducherry,Toyota,Urban Cruiser Hyryder,2017,1501000,1,2600,223481,Diesel,721000
Himachal Pradesh,Maruti Suzuki,Baleno,2023,755000,8,50000,101251,Petrol,477000
Bihar,Hyundai,Verna,2021,1191000,6,157500,240530,Diesel,370000
Chandigarh,Tata,Tiago,2014,714000,8,96600,227198,Petrol,74000
Rajasthan,Honda,City,2017,1215000,9,195800,141359,Petrol,353000
Andaman and Nicobar Islands,Mahindra,Thar,2016,1425000,7,192100,24002,Diesel,432000
Chhattisgarh,Maruti Suzuki,Dzire,2020,906000,1,700,187980,Petrol,541000
Andhra Pradesh,MG,Hector,2022,2096000,2,2600,33628,Petrol,1627000
Assam,Toyota,Fortuner,2023,4536000,8,64000,213127,Petrol,2082000
Assam,Volkswagen,Taigun,2019,1639000,1,0,87289,Diesel,909000
Goa,Skoda,Octavia,2018,3257000,6,126800,191483,Petrol,889000
Jharkhand,MG,Astor,2018,1364000,4,32000,155230,Diesel,396000
Mizoram,Honda,Amaze,2016,972000,2,4200,224239,Petrol,400000
Madhya Pradesh,Honda,Elevate,2022,1312000,2,300,195146,Diesel,757000
Jharkhand,Toyota,Urban Cruiser Hyryder,2016,1679000,3,9500,63138,Diesel,1065000
Maharashtra,Toyota,Innova Crysta,2022,2317000,4,27100,236029,Petrol,1188000
Bihar,Kia,Sonet,2016,1372000,7,167400,15202,Petrol,552000
Manipur,Honda,Amaze,2018,1016000,9,259200,56178,Petrol,384000
Manipur,Kia,Carens,2014,1597000,3,40400,111402,Petrol,720000
Bihar,Volkswagen,Virtus,2021,1579000,7,144400,18138,Diesel,892000
Tamil Nadu,Hyundai,Venue,2012,1252000,10,195800,58999,Petrol,218000
Lakshadweep,Toyota,Innova Crysta,2017,2205000,5,6800,169873,Petrol,1146000
Gujarat,Hyundai,i20,2018,890000,2,4900,106685,Petrol,508000
Odisha,Volkswagen,Polo,2020,870000,3,16000,189207,Petrol,374000
Telangana,Mahindra,Scorpio-N,2014,2081000,2,1500,188142,Petrol,764000
Himachal Pradesh,Tata,Safari,2022,2465000,10,287400,213112,Petrol,684000
Uttarakhand,Maruti Suzuki,Swift,2015,662000,3,27700,61255,Petrol,368000
Sikkim,Maruti Suzuki,Ertiga,2023,1028000,2,3600,134056,Petrol,784000
Chandigarh,MG,Hector,2021,2146000,10,453400,199815,Diesel,313000
Manipur,Hyundai,i20,2016,768000,10,213400,80457,Diesel,154000
Andhra Pradesh,Mahindra,Thar,2015,1361000,1,1800,38044,Diesel,643000
Odisha,Hyundai,i20,2020,912000,2,1800,165807,Diesel,505000
Kerala,Skoda,Slavia,2022,1335000,6,198700,68866,Diesel,715000
Telangana,Kia,Seltos,2016,1376000,10,402800,132636,Petrol,222000
Uttar Pradesh,MG,Astor,2023,1586000,1,600,148523,Diesel,1121000
Dadra and Nagar Haveli and Daman and Diu,Honda,City,2013,1517000,9,240000,130562,Petrol,351000
Maharashtra,Mahindra,Scorpio-N,2021,1790000,4,6300,103295,Petrol,1117000
Chandigarh,Kia,Seltos,2010,1520000,3,46500,62138,Diesel,466000
Chhattisgarh,Volkswagen,Taigun,2015,1718000,3,30600,71873,Petrol,695000
Chandigarh,Skoda,Slavia,2010,1267000,3,48400,169557,Petrol,244000
Manipur,Honda,Amaze,2011,996000,1,4700,8993,Petrol,482000
Uttarakhand,Maruti Suzuki,Dzire,2020,739000,9,369300,205358,Diesel,74000
Meghalaya,Maruti Suzuki,Baleno,2011,949000,7,152900,28169,Petrol,261000
Himachal Pradesh,MG,Hector,2020,1776000,8,137600,92690,Diesel,634000
Kerala,Hyundai,Creta,2019,1542000,7,131700,207130,Petrol,466000
Manipur,Mahindra,Bolero,2012,1051000,1,1200,214017,Diesel,260000
Ladakh,Tata,Nexon,2017,1112000,1,4900,238289,Petrol,367000
Andaman and Nicobar Islands,Hyundai,i20,2023,981000,4,41100,47494,Petrol,748000
West Bengal,Tata,Nexon,2019,1253000,3,9400,195200,Diesel,505000
Ladakh,Hyundai,Verna,2020,1387000,10,149500,100955,Diesel,503000
Haryana,Skoda,Slavia,2015,1279000,9,388700,92114,Petrol,153000
Rajasthan,MG,Astor,2017,1480000,2,3100,48903,Petrol,741000
Sikkim,Mahindra,Bolero,2022,1010000,10,213200,188334,Petrol,296000
Tripura,MG,Hector,2019,1905000,3,38400,130722,Diesel,767000
Punjab,Maruti Suzuki,Swift,2012,804000,8,92600,49072,Petrol,236000
Puducherry,Mahindra,Scorpio-N,2020,1921000,4,13900,247908,Petrol,686000
Goa,Honda,Amaze,2014,897000,4,13600,176660,Petrol,318000
Telangana,MG,Hector,2020,2015000,1,1000,38169,Petrol,1400000
Bihar,Honda,Elevate,2013,1588000,3,13600,228445,Diesel,390000
Himachal Pradesh,Hyundai,Creta,2013,1443000,3,38000,15860,Petrol,634000
Bihar,Kia,Sonet,2010,1163000,1,2800,183829,Petrol,429000
Andaman and Nicobar Islands,Volkswagen,Virtus,2019,1339000,10,381700,30153,Petrol,376000
Chhattisgarh,Maruti Suzuki,Baleno,2011,975000,2,3800,113976,Petrol,468000
Assam,Tata,Tiago,2022,576000,5,21200,12647,Petrol,411000
Tripura,Kia,Seltos,2011,1432000,4,12800,215097,Diesel,261000
Jammu and Kashmir,Maruti Suzuki,Dzire,2015,777000,7,153100,225525,Diesel,99000
Assam,Kia,Seltos,2012,1696000,10,368500,27049,Diesel,167000
Bihar,Honda,Elevate,2022,1404000,5,24700,210317,Petrol,696000
West Bengal,Kia,Seltos,2019,1689000,4,19700,206905,Diesel,631000
Punjab,MG,Astor,2013,1260000,3,30300,38941,Petrol,366000
Haryana,Hyundai,Venue,2014,1255000,7,86000,61739,Diesel,393000
Puducherry,Toyota,Innova Crysta,2011,2630000,9,369100,183042,Petrol,629000
